,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,label
0,-0.053173363,0.31004155,-0.17732695,0.036685947,0.341318,-0.16208537,0.12443218,-0.045657918,-0.08654973,0.114671566,0.28652808,0.1210867,-0.055880144,0.020932883,-0.3690667,0.093402945,-0.14952755,-0.23202866,0.29786545,0.18972929,-0.2779076,0.18360731,-0.06452748,0.009748143,-0.24028021,0.2603709,0.09992695,-0.110609636,0.1339235,0.3413462,0
1,-0.09961321,0.3689221,-0.033098895,-0.10308345,-0.31165242,0.3237899,0.20918351,-0.27431348,0.36573288,-0.042786956,-0.026009131,-0.4152844,0.054422572,-0.4057645,0.14225852,-0.29821405,-0.358094,0.6081422,0.24920934,-0.039772153,0.48298082,-0.026093245,0.550724,-0.3480867,-0.10335718,-0.3288729,0.46960968,0.4966913,-0.690949,-0.0058862716,0
2,-0.46236268,-0.18992218,0.0042729084,-0.39749283,-0.13805458,0.5401306,0.11809431,-0.10122022,-0.082816035,0.3195228,-0.1713603,-0.35118997,-0.29769108,-0.35173726,0.2970254,-0.5496564,-0.53870606,0.5994521,0.41275498,-0.5115902,0.4613958,0.27031165,0.28622296,-0.37423217,-0.43747005,-0.89847106,0.43539542,1.0,-0.89382434,-0.46146685,0
3,-0.46772972,-0.2985236,-0.16705091,0.107444145,0.11400706,-0.011555459,0.058109112,0.26582298,0.26787132,0.04496582,0.008203537,-0.121264786,-0.30577418,-0.4013956,0.32680917,-0.34225282,0.20114115,0.06680737,0.065104,-0.5395062,0.48004058,0.3943028,-0.02682614,0.27091804,-0.08417085,-0.5928035,-0.19361666,0.3640841,0.021947198,-0.31771946,0
4,-0.62883383,-0.61599904,-0.15574253,-0.20907891,0.28887582,0.36978266,0.08557699,0.096017584,0.10287051,0.42864695,-0.025005225,0.18533981,-0.56761056,-0.33073157,0.29654023,-0.40974727,0.19651037,-0.09027546,-0.026324794,-0.7178102,0.5377675,0.60541797,-0.28986895,0.19310573,-0.047892652,-0.8911628,-0.08358076,0.5694286,0.029629715,-0.7370855,0
5,-0.24329473,0.01190424,-0.18962048,0.050340075,0.3781181,-0.16570322,0.07208824,0.13515675,-0.09457186,0.15331878,0.21303461,0.110379115,-0.20448072,-0.058755666,-0.17356941,-0.03929421,-0.02472701,-0.2453378,0.2549716,-0.10079473,-0.13134012,0.3266923,-0.17273353,0.15453868,-0.2626744,-0.030021004,-0.06961328,0.03799822,0.18356389,0.10820036,0
6,0.06925639,0.56366026,-0.14321372,0.20418169,-0.06658648,-0.12513587,0.1883219,-0.13898079,0.41739053,-0.21051103,0.19928268,-0.2068786,0.16631271,-0.25978398,-0.12256493,0.008578219,-0.062036723,0.16817854,0.16045779,0.24440753,0.155723,-0.045693457,0.3549712,-0.048077308,0.015575349,0.22728834,0.18363014,-0.093968004,-0.0881463,0.39295086,0
7,-0.22895022,0.18337321,-0.11664452,0.19637656,0.036999643,-0.3707579,0.009830803,0.35352814,-0.10374695,-0.16240034,0.07311977,-0.45700622,-0.005574543,-0.20484382,0.057019994,-0.21346265,-0.33147427,0.2668189,0.55103254,-0.15690398,-0.078097016,0.12280497,0.249438,0.034951802,-0.5614619,-0.11653735,-0.033124693,0.29867172,-0.31802967,0.3488135,0
8,-0.18325149,0.14027649,-0.22293296,0.4137848,0.125334,-0.4149899,0.07121742,0.2960133,0.40626663,-0.2549801,0.18507172,-0.15098257,-0.028682645,-0.32196635,0.09227471,-0.06996768,0.29797107,-0.07466766,0.0702988,-0.12815084,0.21697703,0.19238508,0.06999926,0.3781328,-0.0017110333,0.013127895,-0.2897526,-0.13760278,0.30689457,0.22314708,0
9,-0.5835176,-0.52293795,-0.09481257,-0.5346025,0.4987422,0.44831675,0.059389226,-0.013116211,-0.58832175,0.7386113,0.025777075,0.27076536,-0.60305935,0.023761109,-0.08778363,-0.32947963,-0.39631516,-0.14931417,0.40438125,-0.52107716,-0.07653117,0.61123353,-0.3942102,-0.14914347,-0.5552073,-0.72438675,0.21513253,0.73579466,-0.27836385,-0.5383203,0
10,-0.41919246,-0.16689426,-0.011712358,-0.38395813,-0.23271659,0.7253521,0.19853553,-0.29116,0.29058075,0.29607525,-0.17174341,-0.24774677,-0.28846508,-0.48690978,0.37750712,-0.5401912,-0.28001672,0.5955201,0.12276812,-0.49546707,0.7894662,0.25238937,0.3245673,-0.33899176,-0.069648966,-0.944944,0.46755466,0.90547156,-0.7701204,-0.6349293,0
11,-0.27203605,-0.0335356,-0.1452259,-0.084158905,0.14368628,0.2280781,0.16077712,-0.11782962,0.24029021,0.19585113,0.09773517,0.07746091,-0.23092474,-0.26435262,0.034901008,-0.18350095,0.052084208,-0.0013030545,0.0376018,-0.20996402,0.3419745,0.29859135,-0.00820033,0.021709776,0.01924057,-0.33761433,0.11878094,0.24569923,-0.028483003,-0.23045734,0
12,-0.70752287,-0.7179795,-0.22928093,0.20833191,0.26435977,-0.10126997,-0.01033549,0.53512394,0.33212858,0.08310391,-0.024373818,-0.000879243,-0.52229893,-0.48858243,0.5411862,-0.4374551,0.5573969,-0.13884582,-0.1053064,-0.8981912,0.6575049,0.6290666,-0.2908932,0.6043556,0.006493669,-0.8765906,-0.54203546,0.37624434,0.3513549,-0.6134321,0
13,-0.25900388,0.17400236,-0.05619397,0.07276932,-0.18762895,-0.0971457,0.05559983,0.20532161,0.042512417,-0.14759767,-0.048308827,-0.60101944,-0.0003921017,-0.34930032,0.22951105,-0.3663202,-0.42731035,0.56547546,0.51559937,-0.25111166,0.21851677,0.06835428,0.44846296,-0.13889588,-0.49491268,-0.37812454,0.15553391,0.5631952,-0.6457997,0.14926532,0
14,-0.28204623,0.028807014,-0.09762197,-0.013687162,-0.14515156,0.24317294,0.15977247,-0.07132463,0.42953947,0.0044197123,-0.024520416,-0.25112507,-0.1303164,-0.45591056,0.27828953,-0.33846477,-0.017862312,0.3664971,0.0732664,-0.30456567,0.6059544,0.17987652,0.2874061,-0.047331683,0.012128089,-0.51338625,0.1665387,0.4412399,-0.33692947,-0.24256429,0
15,0.21104196,0.7154397,-0.027784515,-0.5418113,-0.024068817,0.8012177,0.39245102,-1.0,0.16095722,0.4251679,0.2070614,0.21958287,0.05977185,-0.025289163,-0.53275263,0.06975051,-0.5576673,0.20006317,0.1521549,0.5553819,0.07910043,-0.064345464,0.3221961,-0.7389138,0.09407757,0.17195335,0.99131995,0.19380902,-0.55373925,0.065438494,0
16,-0.11367096,0.120469205,-0.17845637,-0.18661498,0.2951613,0.3913308,0.25595677,-0.43586498,0.3108925,0.35000244,0.23963933,0.4365012,-0.2222892,-0.13329592,-0.252276,0.029614292,0.16259058,-0.28653738,-0.1459396,0.070025414,0.24284263,0.29447335,-0.15644015,-0.03182799,0.2722606,-0.054902643,0.25343496,-0.040493246,0.23507924,-0.2085951,0
17,-0.008074329,0.45368218,-0.05273959,-0.2609257,0.0019448549,0.30942675,0.21384114,-0.39368588,-0.033611,0.20022377,0.1270604,-0.105162516,0.012395963,-0.08950174,-0.26798606,-0.085416526,-0.53618264,0.26685366,0.38600713,0.21195512,-0.019009829,0.027591765,0.2948464,-0.4397629,-0.27014115,-0.00425872,0.5701953,0.31777096,-0.53099054,0.17301022,0
18,-0.16196163,0.18219456,-0.07113197,-0.28593564,0.038862914,0.41708434,0.20495205,-0.34198195,0.06571029,0.28075773,0.073929675,-0.014568761,-0.14091277,-0.18075766,-0.10370815,-0.1836646,-0.3342526,0.20768133,0.23022155,-0.02786535,0.20654896,0.16900013,0.16912267,-0.31342497,-0.1462244,-0.2742629,0.45443153,0.40922156,-0.41937417,-0.12502044,0
19,-0.22137973,0.09543869,-0.14352833,0.03854206,0.14747801,-0.052197788,0.10124114,0.06271158,0.067124814,0.05772994,0.124455035,-0.09310661,-0.12581293,-0.1939028,-0.02746369,-0.14336637,-0.10437305,0.041012358,0.25468194,-0.12505059,0.08904358,0.22239694,0.06290028,0.03388496,-0.22184408,-0.1558498,0.053645037,0.19461413,-0.08586338,0.06721283,0
